0,Sheet1
1,ID
2,EquipName
3,WhiteID_1
4,WhiteNum_1
5,WhiteID_2
6,WhiteNum_2
7,WhiteID_3
8,WhiteNum_3
9,WhiteID_4
10,WhiteNum_4
11,GreenID_1
12,GreenNum_1
13,GreenID_2
14,GreenNum_2
15,GreenID_3
16,GreenNum_3
17,GreenID_4
18,GreenNum_4
19,BlueID_1
20,BlueNum_1
21,BlueID_2
22,BlueNum_2
23,BlueID_3
24,BlueNum_3
25,BlueID_4
26,BlueNum_4
27,PurID_1
28,PurNum_1
29,PurID_2
30,PurNum_2
31,PurID_3
32,PurNum_3
33,PurID_4
34,PurNum_4
35,OrangeID_1
36,OrangeNum_1
37,OrangeID_2
38,OrangeNum_2
39,OrangeID_3
40,OrangeNum_3
41,OrangeID_4
42,OrangeNum_4
43,RedID_1
44,RedNum_1
45,RedID_2
46,RedNum_2
47,RedID_3
48,RedNum_3
49,RedID_4
50,RedNum_4
51,木劍
52,青銅劍
53,玄鐵重劍
54,叱吒劍
55,迫雲劍
56,透骨之刃
57,斬雷
58,斷燕之刃
59,蒼崖破風劍
60,雷霆破怒
61,烏霜劍
62,斷潮之刃
63,驚雷
64,碎塵之刃
65,惡蛟之刃
66,絕殺凶兵
67,霓泉劍
68,鐵脊蟒刃
69,滄雷
70,聽風之刃
71,斬鱷巨劍
72,鑽龍狂刃
73,桃木弓
74,烏木弓
75,密林弓
76,白羽弓
77,天音弓
78,血魂弓
79,墜陽
80,霜影弓
81,隼擊之弦
82,鷹翔碧穹
83,天譴弓
84,破甲弓
85,終風
86,霜蓮弓
87,奪魄之弦
88,落梅煙雨
89,天佑弓
90,弑神弓
91,隕星
92,霜寒弓
93,追魂之弦
94,驚天射日
95,木琴
96,檀木琴
97,風紋琴
98,桃木琴
99,青霜琴
100,鴛息琴
101,忍冬
102,幽月
103,夢魂
104,鳳舞蒼穹
105,白玉琴
106,盤龍琴
107,雪墨
108,碧落
109,斷念
110,七絕音司
111,紅袖琴
112,鬼面琴
113,蒼竹
114,亂花
115,冷香
116,異道魔琴
117,木鏡
118,檀木鏡
119,雕花銅鏡
120,循天鏡
121,問皓鏡
122,靈虛鏡
123,搖枝鏡
124,紫雷鏡
125,龐鴻鏡
126,長明燭煌印
127,掩坤鏡
128,清虛鏡
129,邀雲鏡
130,清霜鏡
131,淵兮鏡
132,書畫乾坤鏡
133,太陰鏡
134,玉虛鏡
135,映月鏡
136,鎮元鏡
137,開乾鏡
138,修羅驚雷印
139,青銅頭盔
140,紫金頭盔
141,戰龍頭盔
142,南風頭盔
143,驍將頭盔
144,忠武頭盔
145,落陽頭盔
146,逆鱗頭盔
147,天狼嘯日盔
148,戰神頭盔
149,震業頭盔
150,疾風頭盔
151,禦風頭盔
152,狼尊頭盔
153,冷月黑光盔
154,神武頭盔
155,破軍頭盔
156,雄風頭盔
157,七星頭盔
158,龍角頭盔
159,龍吟震天盔
160,粗布帽
161,隱紋帽
162,細鱗帽
163,無常帽
164,奪魄帽
