0,
1,用户反馈
2,91社区
3,游戏论坛
4,输入激活码
5,兑换
6,取消
7,第一
8,第2
9,第3
10,第4
11,第5
12,第6
13,第7
14,第8
15,第9
16,第10
17,寻路前往
18,飞行前往
19,搜索
20,上页
21,下页
22,时间
23,价格
24,卖家
25,物品
26,我的寄售
27,出售物品
28,购买
29,按等级
30,按职业
31,按品种
32,交易行
33,下架
34,全部下架
35,寄售栏
36,数量
37,售价
38,保管费
39,寄售时间
40,寄售物品
41,寄售
42,重置
43,出售
44,详细信息
45,整理
46,角色战力:
47,装备战力:
48,宠物战力:
49,坐骑战力:
50,战斗力统计
51,基础属性
52,卡片镶嵌
53,卡片重铸
54,生命
55,攻击
56,防御
57,金卡数量
58,卡片升级
59,生灵系
60,自然系
61,灵兽系
62,仙体系
63,轮回系
64,天系
65,一键吞噬
66,吞噬
67,升级进度
68,法宝名称:
69,法宝品阶:
70,修炼熟练:
71,每日熟练度:
72,属性加成
73,生命加成
74,攻击加成
75,防御加成
76,增加上限
77,祝福值
78,材料不足时自动购买
79,（每日使用重铸功能都将增加一定祝福值，祝福值越高重置后出现精品卡片的几率越高。使用转化卡片后祝福值清0，每日凌晨4点祝福值清0！）
80,重铸
81,批量重铸
82,转化卡片
83,消耗:
84,升级进度:
85,保存设置
86,生命值
87,血包存量:
88,自动吃药
89,自动设置
90,开始挂机
91,攻击目标
92,挂机攻击顺序
93,挂机
94,无差别攻击(默认)
95,优先攻击玩家(PVP)
96,优先攻击怪物(PVE)
97,目标选择
98,临时背包
99,整理背包
100,远程商店
101,丢弃物品
102,使用物品
103,背包
104,确定
105,增益状态
106,减益状态
107,查看信息
108,发起聊天
109,加为好友
110,邀请组队
111,邀请交易
112,发送邮件
113,查看寄售
114,献花
115,综合
116,世界
117,私聊
118,队伍
119,仙盟
120,ϵͳ
121, 插入
122,发送
123,坐标
124,设置
125,插入列表
126,表情
127,宠物
128,历史
129,世界频道
130,私聊频道
131,队伍频道
132,仙盟频道
133,系统消息
134,综合频道设置
135,频道
136,传音
137,充值金额
138,请选择您充值元宝的数量:
139,100元宝
140,50元宝
141,1000元宝
142,2000元宝
143,5000元宝
144,10000元宝
145,20000元宝
146,50000元宝
147,确认充值
148,0
149,148
150,138
151,149
152,137
153,充值
154,补单
155,放弃
156,累充赠礼
157,充值返利
158,当前炼化等级:
159,炼化经验:
160,需要炼化等级:
161,消耗铜币:
162,消耗声望:
163,消耗荣誉:
164,使用非绑定材料
165,使用双倍符
166,炼化材料:
167,炼化
168,刷新消耗:
169,刷出传说品质
170,刷新材料不足，自动元宝购买
171,获得奖励:
172,可免费刷:
173,成功几率:
174,剩余次数:
175,初级:
176,高级:
177,免费刷新
178,刷新
179,开始护送
180,"<C=255,255,0>需求等级</C>"
181,"<C=255,255,0>活跃奖励:</C>"
182,你的当前活跃度
183,可以领取
184,"<C=255,255,0>活动名称</C>"
185,参与时间
